,Date,dly_rtn
0,2010-06-30,-0.002511511092507468
1,2010-07-01,-0.07847251363827101
2,2010-07-02,-0.12568306010928965
3,2010-07-06,-0.16093749999999996
4,2010-07-07,-0.019242706393544307
5,2010-07-08,0.1050632911392404
6,2010-07-09,-0.003436426116838587
7,2010-07-12,-0.02011494252873547
8,2010-07-13,0.06392961876832848
9,2010-07-14,0.093715545755237
10,2010-07-15,0.002520161290322509
11,2010-07-16,0.03770739064856721
12,2010-07-19,0.06153100775193798
13,2010-07-20,-0.07348242811501593
14,2010-07-21,-0.003940886699507429
15,2010-07-22,0.03857566765578646
16,2010-07-23,0.013809523809523716
17,2010-07-26,-0.015969938938468764
18,2010-07-27,-0.019093078758949833
19,2010-07-28,0.008272506082724895
20,2010-07-29,-0.017857142857142683
21,2010-07-30,-0.020147420147420103
22,2010-08-02,0.04914744232698087
23,2010-08-03,0.04923518164435925
24,2010-08-04,-0.03143507972665138
25,2010-08-05,-0.038099717779868425
26,2010-08-06,-0.04205378973105134
27,2010-08-09,0.0005104645227158588
28,2010-08-10,-0.029081632653061185
29,2010-08-11,-0.05937992643194967
30,2010-08-12,-0.016759776536312665
31,2010-08-13,0.040909090909090784
32,2010-08-16,0.025109170305676942
33,2010-08-17,0.01970181043663466
34,2010-08-18,-0.01984334203655347
35,2010-08-19,0.0010655301012252316
36,2010-08-20,0.016498137307078276
37,2010-08-23,0.05392670157068058
38,2010-08-24,-0.046199701937406856
39,2010-08-25,0.03645833333333326
40,2010-08-26,-0.007537688442211032
41,2010-08-27,-0.0025316455696202667
42,2010-08-30,0.00862944162436552
43,2010-08-31,-0.01962757926522396
44,2010-09-01,0.049794661190964984
45,2010-09-02,0.029828850855745603
46,2010-09-03,-0.0004748338081670411
47,2010-09-07,-0.02422802850356298
48,2010-09-08,0.017526777020447915
49,2010-09-09,-0.009090909090908927
50,2010-09-10,-0.02607436021245768
51,2010-09-13,0.027268220128904064
52,2010-09-14,0.01930501930501949
53,2010-09-15,0.04071969696969702
54,2010-09-16,-0.047315741583257465
55,2010-09-17,-0.03390639923591221
56,2010-09-20,0.04102817597627273
57,2010-09-21,-0.01377018043684708
58,2010-09-22,-0.04333172845450162
59,2010-09-23,-0.015601409159537116
60,2010-09-24,0.027607361963190247
61,2010-09-27,0.021393034825870627
62,2010-09-28,0.042377009254749076
63,2010-09-29,0.02710280373831786
64,2010-09-30,-0.0714285714285714
65,2010-10-01,0.009309162175404229
66,2010-10-04,0.018932038834951204
67,2010-10-05,0.006193425440686129
68,2010-10-06,-0.03125
69,2010-10-07,-0.0014662756598241566
70,2010-10-08,0.0
71,2010-10-11,-0.00930004894762615
72,2010-10-12,0.0
73,2010-10-13,0.014822134387351804
74,2010-10-14,0.010223953261927932
75,2010-10-15,-0.010120481927710867
76,2010-10-18,-0.015092502434274513
77,2010-10-19,-0.008897676717745884
78,2010-10-20,0.029925187032418865
79,2010-10-21,0.004842615012106588
80,2010-10-22,-0.0014457831325301873
81,2010-10-25,0.006274131274131456
82,2010-10-26,0.02446043165467615
83,2010-10-27,-0.016853932584269593
84,2010-10-28,0.009047619047619193
85,2010-10-29,0.030674846625766694
86,2010-11-01,-0.01968864468864473
87,2010-11-02,-0.007473143390938852
88,2010-11-03,0.024470588235294022
89,2010-11-04,0.1437758383096004
90,2010-11-05,-0.01847389558232926
91,2010-11-08,0.02209492635024546
92,2010-11-09,-0.014011208967173783
93,2010-11-10,0.1920422249289484
94,2010-11-11,-0.04495912806539515
95,2010-11-12,0.06419400855920121
96,2010-11-15,0.03217158176943702
97,2010-11-16,-0.03668831168831166
98,2010-11-17,-0.006066734074823166
99,2010-11-18,0.013563919972872318
100,2010-11-19,0.03680160588825676
101,2010-11-22,0.07776702161987736
102,2010-11-23,0.03502994011976046
103,2010-11-24,0.026034133641885893
104,2010-11-26,-0.0042289258528332985
105,2010-11-29,-0.028029445073612713
106,2010-11-30,0.029129041654529564
107,2010-12-01,-0.027738465893008657
108,2010-12-02,-0.05822416302765643
109,2010-12-03,-0.02658423493044826
110,2010-12-06,-0.037472213401079646
111,2010-12-07,0.041240514681623264
112,2010-12-08,0.025665399239543696
113,2010-12-09,-0.00988569663268457
114,2010-12-10,-0.016536661466458602
115,2010-12-13,-0.03077411167512689
116,2010-12-14,-0.06612111292962353
117,2010-12-15,0.03750438135296186
118,2010-12-16,0.04087837837837838
119,2010-12-17,0.01785134696527102
120,2010-12-20,0.010841836734693855
121,2010-12-21,0.01766561514195586
122,2010-12-22,0.011469311841289631
123,2010-12-23,-0.07784247624885088
124,2010-12-27,-0.1508806912595546
125,2010-12-28,0.03365949119373779
126,2010-12-29,0.04998106777735711
127,2010-12-30,-0.04435629282365672
128,2010-12-31,0.004905660377358512
129,2011-01-03,-0.00037551633496046843
130,2011-01-04,0.0018782870022540088
131,2011-01-05,0.005999250093738251
132,2011-01-06,0.0391352963101006
133,2011-01-07,0.012912482065997155
134,2011-01-10,0.00743626062322944
135,2011-01-11,-0.052372583479789014
136,2011-01-12,0.0
137,2011-01-13,-0.027448071216617298
138,2011-01-14,-0.017925247902364605
139,2011-01-18,-0.004271844660194146
140,2011-01-19,-0.06279251170046796
141,2011-01-20,-0.05867665418227219
142,2011-01-21,0.018567639257294433
143,2011-01-24,0.06293402777777768
144,2011-01-25,0.007758268681094416
145,2011-01-26,0.002836304700162051
146,2011-01-27,0.006868686868686913
147,2011-01-28,-0.0365168539325843
148,2011-01-31,0.0037484381507704168
149,2011-02-01,-0.007883817427385975
150,2011-02-02,0.0012547051442910462
